23420800,apple.com,192.168.1.11
23420801,_apple-mobdev._tcp.local,192.168.1.12
23420802,_apple-mobdev._tcp.local,192.168.1.13
23420803,facebook.com,192.168.1.14
23420804,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.15
23420805,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.11
23420906,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.12
23420907,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.13
23420908,amazon.com,192.168.1.14
23421009,_apple-mobdev._tcp.local,192.168.1.15
23421010,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.11
23421011,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.12
23421012,twitter.com,192.168.1.13
23421113,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.14
23421114,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.15
23421115,_apple-mobdev._tcp.local,192.168.1.11
23421116,_apple-mobdev._tcp.local,192.168.1.12
23421117,wikipedia.org,192.168.1.13
23421318,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.14
23421319,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.15
23421320,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.11
23421321,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.12
23421322,stackoverflow.com,192.168.1.13
